"","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","BLANK.2","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3"
"Label","Control","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"M832.307T992.353","4371.5082","25767.383","75470.659","246891.814","140000","82943.155","215000","84300","151845.349","2710.1738","93960.953","7681.9787","167830.2626","90600","154878.663","81588.381","71789.03","79800"
"M455.315T1295.888","76561.8221","363482.892","285738.052","234281.334","241000","200179.372","242000","205000","212516.818","51062.5881","210972.281","100429.2939","202242.3598","187000","222588.733","220287.449","210050.417","195000"
"M297.239T1626.197","146574","118088.086","93969.488","138049.368","133000","104980.909","108000","139000","139724.491","128714.0523","145069.031","123567.6635","143638.237","119000","137679.752","149707.595","127632.631","138000"
"M471.314T1308.231","49886.6001","398392.899","264998.934","267955.708","173000","180197.744","203000","219000","194088.799","78045.7873","156426.684","82504.9773","201023.9374","149000","202129.666","237721.598","171108.583","155000"
"M455.313T1308.231","88010.9163","403000.098","307984.046","315931.602","272000","244282.928","304000","302000","299855.531","75720.8829","272068.497","127520.2274","262257.4906","251000","278755.432","329174.637","279693.573","263000"
"M392.284T1436.378","121283.2694","342323.099","257792.304","154919.199","142000","142158.075","152000","127000","124648.618","96782.6622","98501.067","119570.133","153390.5138","139000","154954.959","123894.04","127606.084","107000"
"M399.308T1262.042","64986.7223","2172556.166","632565.324","132589.419","214000","135846.553","141000","128000","117667.682","72558.2042","91878.445","100576.9347","122073.0509","151000","158872.979","102347.387","110044.556","96100"
"M549.428T1523.962","60481.7533","69344.604","85810.02","106404.593","120000","65794.911","103000","161000","135569.581","63593.8205","140501.978","46480.2344","116249.2284","99400","99281.886","142936.033","112454.871","119000"
"M807.348T918.929","4041.1379","253963.057","691204.147","11604876.95","1200000","2373636.177","11300000","891000","320161.972","12989.1786","1231520.939","1847.9355","4863569.698","1290000","5306926.053","480118.833","2051316.747","722000"
"M542.478T1573.977","9044","29286.757","15302.819","60094.731","55400","99626.698","60200","108000","109751.451","671.82714","79386.131","3359.1357","56845.2864","64400","46201.986","69384.993","68707.273","73800"
