"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Control","Control","Control","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Xanthomonas","Xanthomonas"
"M579.301T894.416","-0.60598002","-0.47934212","-0.28678767","-0.05993995","-0.16515481","-0.37348563"," 0.25661687"," 1.06619466"," 0.21347795"," 0.03716452"," 0.25003971"," 0.14719650"
"M593.947T757.746","-0.33882126"," 0.27044774","-0.23958845","-0.04965629","-0.79021814"," 0.05023142"," 0.51874899"," 1.51597170"," 0.27201061"," 0.56527921","-1.70449243","-0.06991312"
"M367.102T765.544","-0.3912952","-0.5620992","-0.3014826","-0.3776528","-0.3287109","-0.8418062"," 0.1549738"," 1.2645407"," 0.4659962"," 0.1282936"," 0.2269590"," 0.5622835"
"M585.15T892.945","-0.6750108577","-0.7586140666","-0.4464597533","-0.0270412817"," 0.0004339132","-0.4770494346"," 0.2277481618"," 1.0972505399"," 0.4034456334"," 0.4111534333","-0.2406322333"," 0.4847759456"
"M988.312T316.465","-0.43449151","-0.76598989","-0.23579723"," 0.16441836","-0.49791635","-0.45121672"," 0.46206897"," 0.71488626"," 0.41520158"," 0.43380628","-0.02070939"," 0.21573963"
"M735.437T1351.512","-0.55726120","-0.29211723","-0.28532250","-0.49266752"," 0.05479935","-0.77048887"," 0.57403729"," 1.16327934"," 0.35416747"," 0.14464434"," 0.02351590"," 0.08341364"
"M851.154T319.552","-0.511626118","-0.434116962","-0.372063865","-0.080075162"," 0.001379669","-0.524014774"," 0.355075534"," 1.186098749"," 0.356987748"," 0.198505114","-0.211153818"," 0.035003886"
"M265.093T134.502","-0.52430489","-0.73300281","-0.40920288","-0.14200019","-0.03090005","-0.37579058"," 0.07178975"," 0.96521147"," 0.60901131"," 0.35392398"," 0.22559392","-0.01032904"
"M575.708T1045.732","-0.42449295","-0.06021601","-0.55232091"," 0.13195010"," 0.17354611","-0.51313657"," 0.38217252"," 1.00227863"," 0.32898158"," 0.40385935","-0.89788910"," 0.02526725"
"M657.063T941.851","-0.4610936"," 0.0417937","-0.7895967","-0.4249437","-0.1061543","-0.5516891"," 0.5070426"," 1.1802482"," 0.4805713"," 0.5141446","-0.2866279","-0.1036949"
