"","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3"
"Label","Other","Other","Other","Other","Other","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas"
"M1181.76T17.56"," 6880.672"," 9537.728"," 9537.728","10986.862"," 9008.370"," 8807.364","10810.334"," 9729.058","10745.921","11116.933","10533.506","11394.080","11071.971"," 8361.637"," 7218.788"," 8904.913","11532.494"," 9229.852","10728.088"
"M1182.1T17.55"," 7550.020","10929.137","10929.137"," 8691.998","12210.499","11909.056","10124.945","10786.216","13434.182","10933.452","10619.771","12862.472","10380.429","13121.071"," 7865.007","10366.821","10104.446","11610.003","10448.693"
"M1182.27T12.55","4501.299","5499.866","5499.866","5015.000","5256.158","5765.447","5790.589","3731.378","5510.482","4958.609","5120.297","7403.198","8829.154","5665.227","2937.420","8923.760","4659.974","4374.762","5065.283"
"M1182.76T17.56"," 8300.285","10914.838","10914.838","11289.768","11492.956","11398.717","10202.762","12748.320","12768.305","12154.294","13229.570","11810.042","16480.187","10708.254"," 7802.793"," 8496.597","11841.418","11903.659","12836.394"
"M1182.77T12.5"," 8806.606","13845.412","13845.412"," 7977.862"," 9408.265"," 7678.913"," 8441.473"," 8844.454"," 9775.238"," 9289.939"," 9592.785"," 9386.290"," 7673.767"," 8818.623"," 7933.442"," 9264.024"," 8764.472","10072.126","10254.552"
"M1183.43T17.56","3250.896","6656.808","6656.808","7699.028","6192.506","4406.115","7357.594","6355.746","8049.409","4996.926","7097.228","7739.148","7666.473","6022.143","5874.171","7104.673","7983.880","5995.494","8354.990"
"M1183.76T17.55"," 8740.924","10453.430","10453.430","11020.964","13161.731","10503.549"," 9592.685","13391.836","11804.567","12172.336","13747.118","11512.434","12101.474","10111.748"," 8541.329","10390.127","11015.552","12344.832","15536.470"
"M1183.77T11.73"," 9622.655","11035.822","11035.822","11450.248"," 9684.968"," 7641.592"," 8691.992"," 9041.042"," 9677.022"," 8668.203"," 8820.629","12176.365"," 7948.690"," 9282.951"," 8736.016"," 6196.436"," 9763.276"," 8513.464"," 7156.065"
"M1184.09T17.56"," 4887.754"," 8495.791"," 8495.791"," 6770.250"," 8118.309"," 7528.082","15967.760"," 6236.350"," 5263.050"," 8408.133"," 7893.155"," 8924.248"," 7863.049"," 7243.010"," 6038.381"," 7221.527","13280.522"," 9051.473"," 7410.839"
"M1184.1T12.55"," 8996.984","15505.000","15505.000","10750.154","10460.275","15182.740"," 9888.082","15420.847","12094.174","16186.365","10679.609","10036.026","10033.296","10399.700"," 8700.556","14567.523"," 8452.068"," 7520.494","15911.637"
"M1184.43T13.55"," 8042.566","13962.374","13962.374"," 7701.034","10555.120","11633.952","10524.627"," 9043.048"," 5458.326"," 6493.269","10660.352"," 9605.912"," 9015.070","10371.195"," 7207.661"," 9982.314"," 9821.508","10848.322","10183.597"
